Place,Name,Gender,Time
166,Christian Parenteau,M,2:45:33
167,Christopher Copeland,M,2:45:33
168,Roberto Puente,M,2:45:37
169,Luke O'Keefe,M,2:45:38
170,John Jones,M,2:45:39
171,Cole Dailey,M,2:45:41
172,Delgado Paulo,M,2:45:45
173,Eduardo Ribeiro Ferreira,M,2:45:48
174,Kate Gustafson,F,2:45:48
175,Yurii Klym,M,2:45:52
176,Erik Brown,M,2:45:57
177,Jonathan Schloth,M,2:46:05
178,Thomas Tayeri,M,2:46:06
179,Jonah Weinstein,M,2:46:06
180,Michael Zelwin,M,2:46:10
181,Ruoxi Chen,M,2:46:12
182,Gonzalo Zapata,M,2:46:14
183,Matthew Lloyd-Thomas,M,2:46:21
184,Charles Mancino,M,2:46:30
185,Narciso Mejia,M,2:46:32
186,Lou Palma,M,2:46:33
187,Guido Freiburghaus,M,2:46:37
188,Jimmy Williams,M,2:46:38
189,Michael Yuan,M,2:46:53
190,Joseph Ray,M,2:46:54
191,Olivier Desmoulin,M,2:46:56
192,Kevin Dempsey,M,2:46:56
193,Leigh Sharek,F,2:46:58
194,Christoph Maul,M,2:46:59
195,Dariusz Wezowczyk,M,2:47:00
196,Paul Hylton,M,2:47:02
197,Frank Sinapi,M,2:47:06
198,Johnny Guignet,M,2:47:11
199,Rodrigo Vellon,M,2:47:14
200,Byron Critchfield,M,2:47:19
201,Jason Difani,M,2:47:19
202,Craig Winters,M,2:47:23
203,Steven Marangos,M,2:47:28
204,Ned Booth,M,2:47:28
205,Brett Musco,M,2:47:31
206,Tyler Vitullo,M,2:47:34
207,Thomas Byrnes,M,2:47:36
208,Andrew Wood,M,2:47:42
209,Mohamed Taha,M,2:47:44
210,Amanda Chang,F,2:47:45
211,Calvin Tan,M,2:47:48
212,Steve Orellana,M,2:47:50
213,Robert Milam,M,2:47:57
214,Jacob Burke,M,2:48:03
215,Khia Kurtenbach,F,2:48:04
216,Eduardo Rodriguez,M,2:48:04
217,Ashley Paulson,F,2:48:10
218,Jackson Bangs,M,2:48:15
219,Jeff Zeha,M,2:48:25
220,Tim Rossi,M,2:48:26
221,Jessica Chichester,F,2:48:26
222,Jimmy Touhey,M,2:48:30
223,Jacob Shuman,M,2:48:34
224,Allison Woodward,F,2:48:35
225,Lindsay Rheiner,F,2:48:38
226,Jaroslav Aujezdsky,M,2:48:45
227,Luke Verbus,M,2:48:50
228,Ryan Healy,M,2:48:54
229,Bridger Tomlin,M,2:48:58
230,Ryan Lerda,M,2:49:00
231,Terry Ditmars,M,2:49:08
232,Will Daggett,M,2:49:09
233,Sascha Haubner,M,2:49:16
234,Joseph Greer,M,2:49:17
235,David Goldfarb,M,2:49:19
236,Tucker Radecki,M,2:49:20
237,Rodrigo Lobo,M,2:49:21
238,Chris Mooney,M,2:49:22
239,David Cai,M,2:49:24
240,Nicholas Fung,M,2:49:24
241,Andrew Jarombek,M,2:49:25
242,Jen Moroz,F,2:49:25
243,Joseph Lauro,M,2:49:25
244,Paul O'Hora,M,2:49:26
245,Amado Tlatempa,M,2:49:29
246,Jonathan Erdelyi,M,2:49:31
247,Jeffrey Corelli,M,2:49:32
248,Richard Kus,M,2:49:33
249,Sean Hardy,M,2:49:34
250,Silvia Del Fava,F,2:49:34
251,Marco Gentili,M,2:49:42
252,François Sfarti,M,2:49:42
253,Chris Dawes,M,2:49:44
254,Casey Drubin,M,2:49:52
255,David Watson,M,2:49:54
256,Salem Aleida,M,2:49:56
257,Theresa McCabe,F,2:49:56
258,Matthew Chu,M,2:49:58
259,Andreas Hundven,M,2:49:58
260,Adam Hallett,M,2:49:58
261,Jake Kaufman,M,2:50:02
262,Joseph Gaynor,M,2:50:04
263,Jason Hudson,M,2:50:08
264,Matthew Cuttler,M,2:50:12
